Position_x,Wavefunction_Psi,Potential_Energy_V
-1.52,0.9794287841029711,0.0
-1.51,0.9705758925681492,0.0
-1.5,0.960170286650366,0.0
-1.49,0.9482286130993458,0.0
-1.48,0.934769976045349,0.0
-1.47,0.9198159064366391,0.0
-1.46,0.9033903275945588,0.0
-1.45,0.8855195169413189,0.0
-1.44,0.8662320639617282,0.0
-1.43,0.8455588244661169,0.0
-1.42,0.823532871227622,0.0
-1.41,0.8001894410728057,0.0
-1.4,0.7755658785102496,0.0
-1.39,0.7497015759873071,0.0
-1.38,0.7226379108705916,0.0
-1.3699999999999999,0.6944181792510156,0.0
-1.3599999999999999,0.6650875266792822,0.0
-1.3499999999999999,0.6346928759426339,0.0
-1.3399999999999999,0.6032828519984031,0.0
-1.33,0.5709077041844536,0.0
-1.32,0.5376192258309563,0.0
-1.31,0.5034706714021142,0.0
-1.3,0.4685166713003771,0.0
-1.29,0.43281314446945207,0.0
-1.28,0.39641720893592247,0.0
-1.27,0.3593870904325897,0.0
-1.26,0.3217820292497218,0.0
-1.25,0.28366218546322625,0.0
-1.24,0.24508854269136174,0.0
-1.23,0.20612281053395834,0.0
-1.22,0.1668273258502217,0.0
-1.21,0.12726495303305616,0.0
-1.2,0.0874989834394464,0.0
-1.19,0.047593034137787815,0.0
-1.18,0.007610946134147902,0.0
-1.17,-0.03238331775972473,0.0
-1.16,-0.07232577525325448,0.0
-1.15,-0.11215252693505487,0.0
-1.14,-0.15179985849835556,0.0
-1.13,-0.19120434267030162,0.0
-1.1199999999999999,-0.23030294068205953,0.0
-1.1099999999999999,-0.2690331031173999,0.0
-1.0999999999999999,-0.3073328699784202,0.0
-1.0899999999999999,-0.3451409698083239,0.0
-1.08,-0.38239691771268025,0.0
-1.07,-0.41904111212235556,0.0
-1.06,-0.4550149301433047,0.0
-1.05,-0.4902608213406994,0.0
-1.04,-0.5247223998073464,0.0
-1.03,-0.55834453436911,0.0
-1.02,-0.5910734367830314,0.0
-1.01,-0.6228567477870415,0.0
-1.0,-0.6536436208636119,0.0
-0.9899999999999998,-0.6833848035833369,0.0
-0.98,-0.7120327163983102,0.0
-0.9699999999999998,-0.7395415287592592,0.0
-0.96,-0.7658672324346374,0.0
-0.9500000000000002,-0.7909677119144163,0.0
-0.94,-0.8148028117859125,0.0
-0.9300000000000002,-0.8373344009738798,0.0
-0.9199999999999999,-0.8585264337421018,0.0
-0.9100000000000001,-0.8783450073588738,0.0
-0.8999999999999999,-0.8967584163341472,0.0
-0.8900000000000001,-0.9137372031415445,0.0
-0.8799999999999999,-0.9292542053441234,0.0
-0.8700000000000001,-0.9432845990484756,0.0
-0.8599999999999999,-0.9558059386176665,0.0
-0.8500000000000001,-0.9667981925794609,0.0
-0.8399999999999999,-0.9762437756724099,0.0
-0.8300000000000001,-0.9841275769785145,0.0
-0.8199999999999998,-0.9904369840974732,0.0
-0.81,-0.9951619033238304,0.0
-0.7999999999999998,-0.9982947757947531,0.0
-0.79,-0.9998305895825983,0.0
-0.7799999999999998,-0.9997668877129283,0.0
-0.77,-0.9981037720951457,0.0
-0.7599999999999998,-0.9948439033594594,0.0
-0.75,-0.9899924966004454,0.0
-0.7399999999999998,-0.9835573130340063,0.0
-0.73,-0.9755486475810826,0.0
-0.7199999999999998,-0.9659793123979745,0.0
-0.71,-0.9548646163796264,0.0
-0.6999999999999997,-0.9422223406686578,0.0
-0.69,-0.9280727102093326,0.0
-0.6800000000000002,-0.9124383613919582,0.0
-0.6699999999999999,-0.8953443058394919,0.0
-0.6600000000000001,-0.8768178903942817,0.0
-0.6499999999999999,-0.8568887533689471,0.0
-0.6400000000000001,-0.8355887771314079,0.0
-0.6299999999999999,-0.8129520370998897,0.0
-0.6200000000000001,-0.7890147472295314,0.0
-0.6099999999999999,-0.7638152020777738,0.0
-0.6000000000000001,-0.7373937155412458,0.0
-0.5899999999999999,-0.7097925563621201,0.0
-0.5800000000000001,-0.6810558805071528,0.0
-0.5699999999999998,-0.6512296605275452,0.0
-0.56,-0.6203616120126798,0.0
-0.5499999999999998,-0.5885011172553452,0.0
-0.54,-0.5556991462506127,0.0
-0.5299999999999998,-0.5220081751547067,0.0
-0.52,-0.4874821023343594,0.0
-0.5099999999999998,-0.45217616214091116,0.0
-0.5,-0.4161468365471424,0.0
-0.48999999999999977,-0.3794517647881537,0.0
-0.48,-0.3421496511508982,0.0
-0.46999999999999975,-0.30430017105983237,0.0
-0.45999999999999996,-0.26596387560898016,0.0
-0.44999999999999973,-0.22720209469308603,0.0
-0.43999999999999995,-0.1880768388928799,0.0
-0.43000000000000016,-0.1486507002713643,0.0
-0.41999999999999993,-0.1089867522398709,0.0
-0.41000000000000014,-0.06914844865406261,0.0
-0.3999999999999999,-0.02919952230128837,0.0
-0.3900000000000001,0.010796117058266948,0.0
-0.3799999999999999,0.050774484933579625,0.0
-0.3700000000000001,0.09067162446430924,0.0
