Position (x),Wave Amplitude (Psi)
-0.6192384769539077,0.2898252992496423
-0.6132264529058116,0.2933312079551688
-0.6072144288577155,0.29687952633260223
-0.6012024048096194,0.30047076739594897
-0.5951903807615229,0.30410545036495507
-0.5891783567134268,0.30778410074017376
-0.5831663326653307,0.3115072503789435
-0.5771543086172346,0.3152754375722826
-0.5711422845691385,0.3190892071227154
-0.565130260521042,0.32294911042303964
-0.5591182364729459,0.32685570553604576
-0.5531062124248498,0.33080955727520256
-0.5470941883767537,0.3348112372863169
-0.5410821643286572,0.33886132413018216
-0.5350701402805611,0.3429604033662255
-0.529058116232465,0.3471090676371692
-0.5230460921843689,0.3513079167547134
-0.5170340681362724,0.3555575577862575
-0.5110220440881763,0.35985860514266815
-0.5050100200400802,0.3642116806671123
-0.49899799599198413,0.3686174137249618
-0.4929859719438876,0.37307644129478745
-0.4869739478957915,0.37758940806045144
-0.4809619238476954,0.38215696650431763
-0.47494989979959934,0.3867797770015857
-0.46893787575150325,0.39145850791576814
-0.4629258517034067,0.3961938356953223
-0.45691382765531063,0.4009864449714495
-0.45090180360721455,0.4058370286570809
-0.44488977955911846,0.41074628804705676
-0.4388777555110219,0.4157149329195205
-0.43286573146292584,0.420743681638536
-0.42685370741482975,0.425833261257951
-0.42084168336673367,0.43098440762651236
-0.41482965931863713,0.43619786549425565
-0.40881763527054105,0.44147438862017907
-0.40280561122244496,0.4468147398812238
-0.39679358717434887,0.4522196913825689
-0.39078156312625234,0.4576900245692628
-0.38476953907815625,0.4632265303392021
-0.37875751503006017,0.4688300091574822
-0.3727454909819641,0.4745012711721261
-0.36673346693386755,0.48024113633121623
-0.36072144288577146,0.48605043450144025
-0.35470941883767537,0.4919300055880753
-0.3486973947895793,0.49788069965641957
-0.3426853707414832,0.5039033770546946
-0.33667334669338667,0.509998908538434
-0.3306613226452906,0.5161681753963759
-0.3246492985971945,0.5224120695778813
-0.3186372745490984,0.5287314938218899
-0.3126252505010019,0.5351273617874387
-0.3066132264529058,0.5416005981857561
-0.3006012024048097,0.5481521389139596
-0.2945891783567136,0.5547829311903651
-0.2885771543086171,0.5614939336914361
-0.282565130260521,0.5682861166903865
-0.2765531062124249,0.5751604621974659
-0.2705410821643288,0.5821179641019352
-0.2645290581162323,0.5891596283157643
-0.2585170340681362,0.5962864729190639
-0.2525050100200401,0.6034995283072824
-0.24649298597194402,0.6107998373401774
-0.24048096192384794,0.6181884554925927
-0.2344689378757514,0.625666451007059
-0.22845691382765532,0.6332349050482368
-0.22244488977955923,0.6408949118592351
-0.21643286573146314,0.6486475789198135
-0.2104208416833666,0.6564940271065022
-0.20440881763527052,0.6644353908546556
-0.19839679358717444,0.6724728183224724
-0.19238476953907835,0.680607471556992
-0.18637274549098182,0.6888405266621053
-0.18036072144288573,0.6971731739685917
-0.17434869739478964,0.705606618206221
-0.16833667334669355,0.7141420786779291
-0.16232464929859702,0.7227807894361068
-0.15631262525050094,0.7315239994610147
-0.15030060120240485,0.7403729728413644
-0.14428857715430876,0.7493289889570772
-0.13827655310621267,0.7583933426642572
-0.13226452905811614,0.7675673444824006
-0.12625250501002006,0.7768523207838683
-0.12024048096192397,0.7862496139856557
